"","factor","facet","r_zero_order","sr_focal_factor","sr_all_factors","sr_other_facets"
"1","ipip_neuroticism","ipip_n_anxiety",-0.47231087951144,0.0402633640004244,0.0179644417687428,0.00342319793475642
"2","ipip_neuroticism","ipip_n_anger",-0.312946826173728,0.155805493875708,0.0501992506681149,0.012765875781724
"3","ipip_neuroticism","ipip_n_depression",-0.673388082855848,-0.352880913663919,-0.27984235223655,-0.224598852048078
"4","ipip_neuroticism","ipip_n_self_consciousness",-0.461534418359036,-0.0506955586414093,0.140815325737112,0.0163492809082173
"5","ipip_neuroticism","ipip_n_immoderation",-0.155475062136608,0.171414838225125,0.0888325687729655,0.0016722100999527
"6","ipip_neuroticism","ipip_n_vulnerability",-0.488950180281127,-0.00831618588355819,0.00181001947511999,-0.0336228083747737
"7","ipip_extraversion","ipip_e_friendliness",0.442940190325216,0.0353621728927493,-0.0346489165275865,-0.0541269444261006
"8","ipip_extraversion","ipip_e_gregariousness",0.338760866932056,-0.138993066008135,-0.0519401398311145,0.0340184666038997
"9","ipip_extraversion","ipip_e_assertiveness",0.386457374387437,-0.0105347957920811,-0.081083865137258,-0.0195023448477012
"10","ipip_extraversion","ipip_e_activity_level",0.332583361704623,0.0885577514297111,-0.0246464050325829,-0.0223144133918515
"11","ipip_extraversion","ipip_e_excitement_seeking",0.209062756550923,-0.172037186763123,-0.0331468036032829,0.016405699025809
"12","ipip_extraversion","ipip_e_cheerfulness",0.568617598510908,0.270349507152973,0.256494007171347,0.17523470193045
"13","ipip_openness","ipip_o_imagination",0.0591381672049698,-0.04795870981473,0.0687806367467653,-0.00141501388448303
"14","ipip_openness","ipip_o_artistic_interests",0.063901569899687,-0.024129027037998,-0.00787507815761953,0.00653260029475842
"15","ipip_openness","ipip_o_emotionality",0.00792138672881232,-0.101038830699085,0.0359408168650946,-0.0136400445079847
"16","ipip_openness","ipip_o_adventurousness",0.273607328121171,0.246415330866704,-0.00853391907113321,-0.0157454160652445
"17","ipip_openness","ipip_o_intellect",0.180743839986215,0.130585344959434,-0.0559614088778758,-0.0343239368921543
"18","ipip_openness","ipip_o_liberalism",-0.098252211899142,-0.201965849839131,-0.0292115189048186,-0.0255175297003262
"19","ipip_agreeableness","ipip_a_trust",0.353449780315851,0.356734449953722,0.0504054873945429,-0.0150220591204518
"20","ipip_agreeableness","ipip_a_morality",0.0469606112213927,-0.0654812906687215,-0.0236505755953313,-0.0496233855867658
"21","ipip_agreeableness","ipip_a_altruism",0.262179880427834,0.274766467128525,-0.00723320125584834,-0.0113744795092415
"22","ipip_agreeableness","ipip_a_cooperation",0.0723738116633792,-0.0237165168191976,0.0316356149401261,0.0307047818128257
"23","ipip_agreeableness","ipip_a_modesty",-0.316470903121733,-0.448069121239951,-0.105502312373693,-0.0222681417788056
"24","ipip_agreeableness","ipip_a_sympathy",0.0855497321695818,0.000752567630775443,0.0714525872454132,0.0445377648787346
"25","ipip_conscientiousness","ipip_c_self_efficacy",0.486072109557748,0.337891209493108,0.0163565328663682,0.0375034247557946
"26","ipip_conscientiousness","ipip_c_orderliness",0.0703983091929459,-0.280293527608946,-0.0932079811117406,-0.0757291671027671
"27","ipip_conscientiousness","ipip_c_dutifulness",0.140691037998652,-0.157361747557498,-0.0866446325318231,-0.0524243296224475
"28","ipip_conscientiousness","ipip_c_achievement_striving",0.420301700929046,0.23436880469372,0.132626515806716,0.099056179418146
"29","ipip_conscientiousness","ipip_c_self_discipline",0.405521769850344,0.205966283486835,0.0461733154486982,0.040667333952317
"30","ipip_conscientiousness","ipip_c_cautiousness",0.0615155184570719,-0.238729371327014,-0.0123407635202371,0.0407991673117401
